customer_id,age,gender,tenure_months,contract_type,internet_service,online_security,tech_support,streaming_tv,monthly_charges,total_charges,num_support_calls,payment_method,churn
CUST_00047,60,Male,9,Month-to-Month,DSL,No,No,Yes,98.67,764.13,1,Electronic Check,0
CUST_00048,50,Female,39,Month-to-Month,No,Yes,No,No,84.04,3333.15,3,Bank Transfer,0
CUST_00049,18,Male,28,Two Year,Fiber Optic,No,Yes,No,134.53,3702.28,1,Credit Card,0
CUST_00050,49,Female,30,One Year,DSL,No,No,Yes,50.05,1447.8,0,Bank Transfer,0
CUST_00051,39,Female,28,Month-to-Month,Fiber Optic,Yes,Yes,Yes,35.15,949.04,0,Mailed Check,0
CUST_00052,34,Male,8,Month-to-Month,No,No,No,Yes,44.71,411.9,3,Mailed Check,0
CUST_00053,54,Female,2,One Year,DSL,No,Yes,No,117.57,190.67,1,Credit Card,0
CUST_00054,60,Male,7,One Year,DSL,No,No,Yes,108.52,726.87,3,Credit Card,0
CUST_00055,58,Male,42,Two Year,Fiber Optic,No,No,No,49.24,2020.09,2,Mailed Check,0
CUST_00056,32,Male,72,Month-to-Month,Fiber Optic,No,No,No,20.0,1452.77,3,Bank Transfer,1
CUST_00057,40,Female,16,Two Year,Fiber Optic,No,No,No,58.82,978.37,2,Credit Card,0
CUST_00058,49,Female,1,One Year,DSL,Yes,No,No,34.6,119.82,1,Electronic Check,0
CUST_00059,59,Female,3,One Year,Fiber Optic,No,No,Yes,50.18,270.54,1,Mailed Check,0
CUST_00060,37,Male,9,One Year,Fiber Optic,No,Yes,No,33.37,332.82,4,Credit Card,0
CUST_00061,42,Male,20,Month-to-Month,Fiber Optic,No,No,No,20.0,418.28,2,Electronic Check,0
CUST_00062,28,Male,1,Two Year,DSL,No,Yes,No,121.5,60.63,6,Bank Transfer,0
CUST_00063,27,Female,68,Month-to-Month,Fiber Optic,No,No,Yes,44.49,3120.78,3,Bank Transfer,0
CUST_00064,57,Male,10,Month-to-Month,DSL,No,Yes,Yes,107.38,1084.57,4,Electronic Check,1
CUST_00065,65,Male,58,Two Year,Fiber Optic,No,No,No,58.36,3370.36,2,Credit Card,0
CUST_00066,43,Female,36,One Year,No,Yes,No,No,31.08,1138.11,5,Mailed Check,0
CUST_00067,60,Female,33,Two Year,Fiber Optic,Yes,No,No,80.27,2617.16,2,Mailed Check,0
CUST_00068,50,Female,22,One Year,DSL,No,No,No,53.27,1055.02,3,Bank Transfer,0
CUST_00069,35,Male,23,Month-to-Month,Fiber Optic,Yes,No,No,58.79,1380.69,4,Mailed Check,0
CUST_00070,50,Male,24,Two Year,No,No,No,Yes,69.35,1731.46,2,Electronic Check,0
CUST_00071,68,Male,23,Month-to-Month,Fiber Optic,No,No,No,40.63,962.42,0,Mailed Check,0
CUST_00072,44,Female,19,Two Year,Fiber Optic,No,No,No,20.0,379.65,0,Electronic Check,0
CUST_00073,68,Female,72,Month-to-Month,DSL,No,No,No,63.46,4569.92,2,Mailed Check,1
CUST_00074,18,Female,31,Two Year,Fiber Optic,No,No,No,93.92,2920.06,2,Electronic Check,0
CUST_00075,57,Female,36,Month-to-Month,Fiber Optic,No,Yes,Yes,37.95,1373.36,1,Credit Card,1
CUST_00076,46,Male,49,One Year,No,Yes,No,Yes,69.62,3408.29,3,Mailed Check,0
CUST_00077,40,Male,5,Two Year,Fiber Optic,No,No,No,110.17,552.09,2,Electronic Check,1
CUST_00078,46,Male,2,Month-to-Month,Fiber Optic,Yes,No,Yes,62.31,202.36,1,Bank Transfer,1
CUST_00079,18,Male,15,One Year,Fiber Optic,Yes,No,No,67.58,1037.36,4,Electronic Check,0
CUST_00080,41,Male,17,Two Year,DSL,No,Yes,No,66.66,1138.42,0,Bank Transfer,0
CUST_00081,50,Male,42,One Year,No,No,Yes,Yes,44.53,1903.21,0,Bank Transfer,0
CUST_00082,67,Male,14,Two Year,Fiber Optic,Yes,Yes,No,35.2,525.76,1,Electronic Check,0
CUST_00083,37,Male,20,Month-to-Month,No,No,No,Yes,35.32,753.74,4,Electronic Check,1
CUST_00084,32,Female,17,Month-to-Month,Fiber Optic,No,No,No,76.05,1254.93,1,Electronic Check,0
CUST_00085,37,Female,1,Month-to-Month,DSL,Yes,No,Yes,87.74,63.71,3,Credit Card,0
CUST_00086,58,Male,22,Month-to-Month,Fiber Optic,No,No,No,89.15,1920.68,0,Bank Transfer,0
CUST_00087,49,Female,42,Month-to-Month,DSL,No,No,No,53.64,2291.37,4,Electronic Check,0
CUST_00088,37,Male,4,One Year,DSL,No,No,No,97.8,427.09,0,Electronic Check,0
CUST_00089,52,Male,21,Month-to-Month,DSL,No,No,No,74.22,1494.98,3,Bank Transfer,0
CUST_00090,46,Female,21,Month-to-Month,Fiber Optic,Yes,No,No,67.12,1429.11,2,Mailed Check,1
CUST_00091,59,Male,4,Month-to-Month,Fiber Optic,Yes,No,No,20.0,148.61,1,Electronic Check,1
CUST_00092,34,Male,3,Two Year,DSL,Yes,No,No,40.48,109.67,0,Electronic Check,0
CUST_00093,40,Male,72,One Year,Fiber Optic,No,Yes,No,20.0,1455.7,1,Bank Transfer,0
CUST_00094,39,Male,12,Month-to-Month,Fiber Optic,Yes,Yes,No,83.81,1042.27,2,Credit Card,0
CUST_00095,23,Male,6,Two Year,No,Yes,No,Yes,67.85,341.08,2,Electronic Check,0
CUST_00096,49,Male,4,Month-to-Month,Fiber Optic,Yes,No,No,32.84,138.96,5,Electronic Check,1
CUST_00097,48,Male,26,Two Year,Fiber Optic,No,Yes,Yes,74.13,1991.01,3,Electronic Check,0
CUST_00098,45,Female,22,One Year,DSL,Yes,No,Yes,22.3,460.83,3,Mailed Check,0
CUST_00099,41,Female,24,Month-to-Month,Fiber Optic,No,No,Yes,33.69,850.11,1,Electronic Check,1
CUST_00100,23,Male,2,One Year,Fiber Optic,No,No,Yes,43.69,88.74,1,Electronic Check,0
CUST_00101,38,Female,53,One Year,No,No,No,No,81.2,4270.09,0,Mailed Check,0
CUST_00102,39,Male,11,Month-to-Month,DSL,Yes,No,Yes,106.98,1171.99,5,Electronic Check,1
CUST_00103,32,Male,9,Two Year,Fiber Optic,Yes,Yes,No,47.42,400.47,2,Electronic Check,0
CUST_00104,42,Male,14,Month-to-Month,Fiber Optic,No,Yes,No,104.67,1421.02,1,Bank Transfer,0
CUST_00105,51,Male,11,Month-to-Month,DSL,No,Yes,No,66.42,717.93,1,Bank Transfer,0
CUST_00106,73,Female,47,Month-to-Month,Fiber Optic,No,No,No,72.08,3391.38,5,Credit Card,0
CUST_00107,47,Female,63,Month-to-Month,No,Yes,No,Yes,63.09,3966.11,2,Electronic Check,1
CUST_00108,48,Female,8,Month-to-Month,Fiber Optic,Yes,No,No,59.08,459.38,3,Electronic Check,0
CUST_00109,43,Female,47,Two Year,No,No,No,No,78.18,3685.71,1,Electronic Check,0
CUST_00110,18,Male,36,Month-to-Month,DSL,No,No,Yes,87.21,3166.12,3,Bank Transfer,0
CUST_00111,44,Female,64,Month-to-Month,Fiber Optic,No,No,Yes,38.46,2404.34,6,Electronic Check,1
CUST_00112,45,Male,6,One Year,Fiber Optic,No,Yes,Yes,59.32,343.31,5,Electronic Check,0
CUST_00113,80,Male,20,Two Year,Fiber Optic,No,No,Yes,115.08,2202.89,2,Electronic Check,1
CUST_00114,42,Female,7,Two Year,No,No,No,No,70.32,484.1,3,Credit Card,1
CUST_00115,49,Male,41,One Year,DSL,No,No,Yes,73.6,3025.16,1,Credit Card,0
CUST_00116,44,Female,1,Two Year,No,No,No,No,100.02,128.51,3,Bank Transfer,1
CUST_00117,27,Female,19,One Year,Fiber Optic,No,No,No,49.96,957.0,4,Electronic Check,0
CUST_00118,62,Female,9,Two Year,DSL,No,No,Yes,63.98,603.24,2,Bank Transfer,0
CUST_00119,56,Female,9,One Year,No,No,Yes,No,89.51,808.81,0,Bank Transfer,0
CUST_00120,56,Female,24,Month-to-Month,Fiber Optic,No,No,Yes,102.17,2418.23,2,Bank Transfer,0
CUST_00121,31,Male,45,Month-to-Month,No,Yes,No,Yes,20.0,844.2,0,Credit Card,0
CUST_00122,66,Female,22,One Year,DSL,No,Yes,No,42.9,930.65,2,Electronic Check,0
CUST_00123,23,Female,46,Month-to-Month,No,No,Yes,Yes,35.05,1573.94,1,Credit Card,0
CUST_00124,53,Male,7,Month-to-Month,Fiber Optic,No,No,Yes,61.29,423.01,3,Credit Card,0
CUST_00125,77,Female,17,One Year,DSL,Yes,No,Yes,37.32,609.84,1,Mailed Check,0
CUST_00126,30,Female,14,Two Year,Fiber Optic,No,No,No,84.92,1209.88,6,Bank Transfer,0
CUST_00127,36,Male,1,Month-to-Month,DSL,Yes,No,No,70.17,72.62,1,Mailed Check,0
CUST_00128,46,Male,19,One Year,Fiber Optic,No,No,No,91.68,1764.21,3,Bank Transfer,0
CUST_00129,37,Female,25,One Year,DSL,No,No,No,93.59,2361.88,5,Mailed Check,0
CUST_00130,21,Male,21,Two Year,DSL,Yes,No,Yes,85.37,1783.84,1,Electronic Check,0
CUST_00131,46,Female,31,Two Year,DSL,Yes,No,Yes,54.93,1696.8,0,Electronic Check,0
CUST_00132,29,Male,20,One Year,Fiber Optic,No,No,Yes,68.13,1387.65,1,Bank Transfer,0
CUST_00133,52,Female,1,One Year,Fiber Optic,Yes,No,No,51.17,173.47,1,Credit Card,0
CUST_00134,31,Female,2,Month-to-Month,Fiber Optic,No,Yes,No,24.06,-1.34,2,Electronic Check,0
CUST_00135,68,Female,21,One Year,DSL,No,No,Yes,93.61,1967.97,0,Electronic Check,0
CUST_00136,33,Male,7,One Year,Fiber Optic,Yes,No,Yes,62.48,377.56,2,Credit Card,0
CUST_00137,40,Female,1,Two Year,Fiber Optic,No,No,Yes,20.0,18.95,1,Electronic Check,1
CUST_00138,57,Male,13,One Year,DSL,Yes,Yes,No,81.11,1020.71,1,Credit Card,0
CUST_00139,26,Female,19,Month-to-Month,No,No,Yes,No,58.28,1101.35,3,Bank Transfer,0
CUST_00140,48,Female,9,One Year,Fiber Optic,No,Yes,Yes,20.0,187.77,1,Credit Card,0
CUST_00141,64,Female,30,Month-to-Month,Fiber Optic,No,No,Yes,23.79,689.17,1,Credit Card,0
CUST_00142,20,Female,24,Month-to-Month,DSL,No,No,Yes,43.98,966.37,2,Bank Transfer,1
CUST_00143,47,Female,9,Month-to-Month,DSL,No,No,No,71.32,713.12,1,Electronic Check,0
CUST_00144,48,Male,33,Month-to-Month,No,Yes,No,No,88.64,2967.1,1,Mailed Check,1
CUST_00145,56,Male,25,Two Year,No,No,Yes,Yes,87.61,2183.8,3,Electronic Check,0
CUST_00146,26,Male,24,Month-to-Month,DSL,No,Yes,Yes,83.09,1949.32,3,Credit Card,0
CUST_00147,25,Female,19,Month-to-Month,DSL,No,Yes,Yes,63.97,1219.66,2,Bank Transfer,0
CUST_00148,52,Female,1,Two Year,Fiber Optic,Yes,No,No,116.67,134.72,1,Electronic Check,0
CUST_00149,49,Male,28,Month-to-Month,Fiber Optic,No,No,No,86.0,2446.39,0,Electronic Check,0
CUST_00150,48,Female,11,Month-to-Month,No,Yes,No,No,71.66,831.41,2,Electronic Check,1
CUST_00151,50,Female,68,Month-to-Month,DSL,No,No,No,82.0,5628.37,1,Bank Transfer,0
CUST_00152,34,Female,40,Month-to-Month,Fiber Optic,No,Yes,Yes,53.03,2034.12,2,Mailed Check,1
CUST_00153,48,Male,21,Month-to-Month,DSL,No,Yes,No,63.28,1313.7,3,Electronic Check,0
CUST_00154,49,Male,6,Month-to-Month,DSL,Yes,No,Yes,20.0,169.66,6,Mailed Check,0
CUST_00155,34,Male,5,One Year,DSL,No,No,Yes,53.4,220.81,0,Electronic Check,0
CUST_00156,72,Male,9,Month-to-Month,No,Yes,Yes,No,117.8,1121.13,1,Electronic Check,1
CUST_00157,52,Male,15,Month-to-Month,Fiber Optic,No,Yes,No,69.45,1132.29,2,Electronic Check,1
CUST_00158,27,Female,8,Two Year,No,Yes,No,No,68.2,605.18,1,Credit Card,0
CUST_00159,54,Female,17,Month-to-Month,DSL,No,No,No,94.96,1647.37,1,Electronic Check,1
CUST_00160,30,Female,4,Two Year,DSL,No,Yes,No,75.73,280.56,5,Bank Transfer,1
CUST_00161,56,Female,72,Month-to-Month,DSL,No,No,Yes,41.41,2995.28,1,Mailed Check,0
CUST_00162,62,Male,2,Month-to-Month,DSL,Yes,Yes,No,65.71,64.11,3,Bank Transfer,1
CUST_00163,32,Male,64,One Year,No,No,No,No,30.94,1941.32,2,Electronic Check,0
CUST_00164,59,Female,58,Month-to-Month,DSL,No,Yes,No,70.51,4053.95,2,Electronic Check,0
CUST_00165,51,Male,17,Month-to-Month,DSL,No,Yes,No,39.87,680.85,1,Electronic Check,1
CUST_00166,57,Female,30,One Year,DSL,Yes,No,No,92.85,2765.86,2,Electronic Check,0
CUST_00167,73,Female,13,Month-to-Month,DSL,No,Yes,No,49.69,659.09,0,Mailed Check,1
CUST_00168,41,Female,23,One Year,Fiber Optic,No,No,Yes,40.26,969.85,0,Electronic Check,0
CUST_00169,33,Female,9,Two Year,Fiber Optic,No,No,No,61.62,519.05,2,Mailed Check,0
CUST_00170,31,Male,8,Month-to-Month,Fiber Optic,No,No,No,75.96,615.12,2,Electronic Check,1
CUST_00171,32,Female,20,One Year,Fiber Optic,No,No,Yes,28.78,554.8,2,Bank Transfer,0
CUST_00172,43,Male,16,One Year,DSL,No,No,No,49.36,799.3,2,Credit Card,0
CUST_00173,50,Female,20,Two Year,DSL,Yes,Yes,Yes,68.15,1397.41,0,Electronic Check,0
CUST_00174,49,Female,8,Two Year,Fiber Optic,No,No,Yes,105.15,887.27,2,Electronic Check,0
CUST_00175,57,Female,10,Two Year,Fiber Optic,No,No,No,20.0,233.52,2,Electronic Check,1
CUST_00176,45,Female,2,Month-to-Month,DSL,Yes,Yes,No,83.45,187.61,1,Electronic Check,0
CUST_00177,66,Male,1,One Year,DSL,No,No,Yes,53.49,-17.52,2,Electronic Check,0
CUST_00178,41,Female,7,Month-to-Month,DSL,No,No,No,50.16,297.07,3,Electronic Check,1
CUST_00179,80,Male,1,Month-to-Month,DSL,Yes,Yes,No,44.57,3.36,5,Credit Card,0
CUST_00180,54,Female,2,Two Year,DSL,Yes,No,No,54.08,126.1,5,Bank Transfer,1
CUST_00181,32,Female,40,Month-to-Month,DSL,No,No,No,83.62,3280.43,3,Credit Card,1
CUST_00182,28,Female,1,Two Year,Fiber Optic,Yes,Yes,No,48.9,65.77,1,Mailed Check,0
CUST_00183,52,Male,25,Month-to-Month,DSL,Yes,Yes,No,114.76,2882.17,2,Credit Card,0
CUST_00184,41,Female,7,Two Year,DSL,No,No,No,83.72,489.23,1,Credit Card,0
CUST_00185,55,Female,49,Month-to-Month,No,No,No,Yes,70.94,3421.64,3,Credit Card,0
CUST_00186,52,Female,15,Month-to-Month,Fiber Optic,No,Yes,Yes,60.02,952.47,1,Electronic Check,0
CUST_00187,43,Female,8,Month-to-Month,No,No,No,Yes,100.7,840.44,2,Bank Transfer,0
CUST_00188,32,Female,17,One Year,DSL,No,No,No,105.08,1743.85,0,Bank Transfer,0
CUST_00189,22,Male,11,Month-to-Month,Fiber Optic,No,Yes,Yes,30.16,280.0,3,Mailed Check,0
CUST_00190,38,Male,19,One Year,DSL,No,No,Yes,43.94,712.4,1,Mailed Check,0
CUST_00191,57,Female,2,Month-to-Month,Fiber Optic,Yes,No,No,84.04,241.64,1,Bank Transfer,0
CUST_00192,48,Female,72,Month-to-Month,DSL,Yes,No,No,93.1,6705.28,1,Credit Card,1
CUST_00193,26,Male,13,Month-to-Month,DSL,No,No,No,55.99,822.05,1,Credit Card,0
CUST_00194,47,Female,10,Month-to-Month,No,No,No,Yes,42.73,417.68,1,Credit Card,0
CUST_00195,50,Male,29,Two Year,Fiber Optic,Yes,Yes,Yes,67.36,1967.52,3,Mailed Check,0
CUST_00196,31,Female,10,Two Year,No,Yes,No,Yes,109.3,1137.57,3,Bank Transfer,0
CUST_00197,47,Female,42,Month-to-Month,DSL,No,No,Yes,66.23,2863.65,3,Mailed Check,0
CUST_00198,45,Male,14,One Year,DSL,Yes,No,Yes,27.08,404.2,1,Electronic Check,0
CUST_00199,27,Female,30,One Year,Fiber Optic,No,No,Yes,68.29,2048.75,0,Credit Card,0
CUST_00200,50,Male,2,Month-to-Month,Fiber Optic,Yes,No,Yes,88.48,178.36,4,Credit Card,1
CUST_00201,53,Male,44,Month-to-Month,Fiber Optic,Yes,Yes,No,61.96,2673.89,1,Bank Transfer,0
CUST_00202,61,Male,31,One Year,No,No,No,Yes,102.75,3166.0,4,Credit Card,0
CUST_00203,60,Female,5,Month-to-Month,DSL,No,No,Yes,90.98,457.44,2,Electronic Check,0
CUST_00204,24,Male,3,Month-to-Month,Fiber Optic,No,No,No,63.15,258.54,1,Mailed Check,1
CUST_00205,30,Male,9,Month-to-Month,DSL,No,No,No,66.29,575.15,4,Credit Card,1
CUST_00206,52,Female,72,One Year,DSL,No,No,No,20.0,1493.13,4,Electronic Check,1
CUST_00207,52,Female,7,Month-to-Month,Fiber Optic,No,No,No,101.31,705.06,4,Electronic Check,1
CUST_00208,52,Female,14,Month-to-Month,Fiber Optic,No,Yes,No,55.11,833.78,4,Electronic Check,0
CUST_00209,80,Female,1,Month-to-Month,DSL,No,Yes,No,53.0,86.84,1,Electronic Check,1
CUST_00210,53,Female,12,Month-to-Month,DSL,Yes,No,No,48.5,612.51,1,Electronic Check,1
CUST_00211,62,Female,20,Month-to-Month,Fiber Optic,No,Yes,No,78.7,1622.96,4,Electronic Check,1
CUST_00212,59,Male,72,Two Year,Fiber Optic,No,No,Yes,31.14,2283.68,1,Credit Card,0
CUST_00213,54,Female,17,Month-to-Month,DSL,Yes,Yes,No,35.47,656.26,1,Credit Card,0
CUST_00214,40,Male,41,One Year,DSL,Yes,Yes,No,63.42,2706.98,1,Mailed Check,0
CUST_00215,56,Female,19,Month-to-Month,DSL,No,Yes,No,46.2,958.73,1,Bank Transfer,0
CUST_00216,33,Male,1,One Year,No,No,No,No,75.06,98.38,4,Electronic Check,0
CUST_00217,41,Male,9,One Year,No,Yes,No,No,47.3,403.64,2,Bank Transfer,0
CUST_00218,37,Female,20,Month-to-Month,Fiber Optic,Yes,No,No,112.85,2275.34,2,Mailed Check,0
CUST_00219,46,Female,72,Two Year,No,No,Yes,No,85.8,6081.56,0,Bank Transfer,0
CUST_00220,79,Male,47,Month-to-Month,Fiber Optic,No,No,Yes,85.43,4056.5,6,Bank Transfer,0
CUST_00221,18,Female,6,Two Year,DSL,Yes,Yes,Yes,46.85,228.11,2,Electronic Check,0
CUST_00222,55,Female,5,Month-to-Month,DSL,No,No,No,137.17,741.98,3,Credit Card,0
CUST_00223,20,Male,5,Two Year,No,Yes,No,No,51.83,358.16,2,Bank Transfer,0
CUST_00224,37,Male,61,One Year,Fiber Optic,No,No,Yes,43.59,2586.18,2,Bank Transfer,0
CUST_00225,61,Male,45,Two Year,No,No,Yes,No,86.2,3876.59,3,Electronic Check,0
CUST_00226,45,Female,35,One Year,No,No,No,No,70.86,2426.77,4,Bank Transfer,0
CUST_00227,28,Female,11,Month-to-Month,Fiber Optic,No,Yes,Yes,40.45,358.52,1,Electronic Check,1
CUST_00228,34,Female,16,One Year,DSL,Yes,No,No,130.88,2088.69,2,Credit Card,0
CUST_00229,55,Female,14,Two Year,DSL,No,No,No,94.27,1351.51,1,Credit Card,0
CUST_00230,34,Male,7,Two Year,DSL,Yes,No,No,65.12,493.56,2,Electronic Check,0
CUST_00231,48,Female,16,Month-to-Month,DSL,No,No,No,137.03,2200.23,1,Bank Transfer,1
CUST_00232,45,Male,1,One Year,Fiber Optic,No,No,Yes,89.32,6.11,3,Electronic Check,1
CUST_00233,35,Female,3,Month-to-Month,DSL,No,No,No,64.64,200.1,3,Credit Card,1
CUST_00234,77,Female,52,One Year,DSL,No,No,No,133.44,6864.42,2,Electronic Check,0
CUST_00235,54,Male,33,Month-to-Month,Fiber Optic,Yes,No,No,84.77,2726.05,3,Electronic Check,1
CUST_00236,18,Female,13,Month-to-Month,DSL,No,No,Yes,83.46,1035.1,2,Electronic Check,0
CUST_00237,47,Female,17,Two Year,Fiber Optic,Yes,Yes,No,53.41,960.45,2,Bank Transfer,0
CUST_00238,35,Male,11,Month-to-Month,Fiber Optic,No,No,No,66.48,758.57,1,Electronic Check,0
CUST_00239,57,Female,32,One Year,Fiber Optic,Yes,No,Yes,52.68,1701.86,3,Bank Transfer,0
CUST_00240,33,Male,36,One Year,No,Yes,Yes,No,108.19,3851.78,1,Bank Transfer,0
CUST_00241,43,Male,34,Month-to-Month,DSL,Yes,No,Yes,20.0,660.61,3,Mailed Check,0
CUST_00242,52,Male,30,Month-to-Month,DSL,No,No,No,105.98,3110.78,0,Mailed Check,1
CUST_00243,57,Male,5,One Year,No,Yes,No,No,38.68,261.61,3,Electronic Check,0
CUST_00244,26,Female,9,Month-to-Month,Fiber Optic,No,No,No,63.26,679.22,4,Credit Card,1
CUST_00245,39,Female,15,Two Year,Fiber Optic,Yes,No,No,56.14,869.98,1,Electronic Check,0
CUST_00246,37,Female,9,Two Year,DSL,Yes,No,No,49.4,481.15,0,Credit Card,0
CUST_00247,35,Male,33,Month-to-Month,No,No,No,No,85.69,2819.94,1,Mailed Check,1
CUST_00248,71,Female,9,Month-to-Month,No,No,Yes,Yes,64.84,502.63,3,Bank Transfer,0
CUST_00249,51,Female,3,Month-to-Month,Fiber Optic,Yes,Yes,No,44.97,92.71,4,Electronic Check,0
CUST_00250,26,Female,12,One Year,DSL,Yes,No,No,69.62,812.17,2,Electronic Check,0
CUST_00251,58,Female,72,Month-to-Month,No,No,Yes,Yes,44.12,3157.19,0,Mailed Check,0
CUST_00252,76,Male,6,Month-to-Month,Fiber Optic,No,No,Yes,48.87,262.43,4,Electronic Check,1
CUST_00253,60,Male,22,One Year,Fiber Optic,No,No,No,20.08,444.19,3,Mailed Check,0
CUST_00254,22,Female,13,Two Year,DSL,Yes,No,Yes,51.49,626.87,2,Mailed Check,0
CUST_00255,37,Male,1,Month-to-Month,Fiber Optic,No,No,Yes,79.83,188.21,3,Electronic Check,1
CUST_00256,64,Female,16,Month-to-Month,DSL,Yes,No,No,66.11,989.55,1,Electronic Check,1
CUST_00257,34,Female,29,Two Year,DSL,No,No,No,119.45,3508.47,1,Credit Card,0
CUST_00258,51,Female,17,One Year,Fiber Optic,No,Yes,No,143.38,2424.44,1,Bank Transfer,0
CUST_00259,56,Male,49,One Year,DSL,No,Yes,Yes,51.07,2525.74,2,Credit Card,0
CUST_00260,31,Female,8,One Year,Fiber Optic,No,No,No,40.0,345.41,3,Electronic Check,0
