date,total_sales,electronics_sales,clothing_sales,food_sales,home_sales,num_transactions,avg_transaction_value
2021-04-26,168.08,129.95,181.47,211.31,146.32,40,2.95
2021-04-27,147.11,118.97,165.1,108.43,128.48,66,2.83
2021-04-28,124.68,138.23,87.6,94.18,115.48,42,2.15
2021-04-29,151.37,122.44,121.12,120.74,141.68,46,3.36
2021-04-30,162.8,165.26,183.61,172.1,167.15,46,3.19
2021-05-01,178.52,200.91,196.34,141.08,142.09,51,3.64
2021-05-02,165.05,126.12,211.2,211.4,183.99,49,3.0
2021-05-03,177.01,184.16,204.74,171.36,141.71,47,4.12
2021-05-04,131.26,112.09,166.76,131.38,116.32,44,2.98
2021-05-05,139.97,178.84,156.98,118.69,140.25,56,2.98
2021-05-06,159.49,157.92,140.16,156.71,187.86,54,3.13
2021-05-07,142.93,169.17,109.09,156.82,163.47,48,3.4
2021-05-08,162.41,167.3,189.87,186.89,176.59,47,3.31
2021-05-09,172.52,125.26,187.44,198.8,136.89,43,3.38
2021-05-10,155.24,167.65,113.16,162.5,159.63,43,2.87
2021-05-11,126.98,161.37,116.32,157.79,95.55,47,2.89
2021-05-12,131.91,139.95,168.06,157.03,122.2,46,2.03
2021-05-13,124.0,147.75,124.03,143.13,117.57,40,2.48
2021-05-14,154.53,190.15,148.29,113.32,111.86,50,4.29
2021-05-15,155.75,130.34,151.8,109.67,134.63,62,3.8
2021-05-16,183.82,152.06,151.71,152.1,234.07,45,3.6
2021-05-17,149.16,159.09,137.41,163.8,189.76,45,3.55
2021-05-18,135.9,128.65,125.29,128.66,123.86,34,2.95
2021-05-19,135.91,163.63,99.41,127.96,98.66,57,2.95
2021-05-20,118.8,147.31,137.87,146.21,95.93,50,2.7
2021-05-21,148.47,135.42,141.04,183.71,138.87,41,3.09
2021-05-22,174.35,146.83,208.06,217.16,221.2,47,3.87
2021-05-23,148.51,173.5,179.72,131.92,116.54,51,2.97
2021-05-24,155.03,134.09,128.24,172.81,179.55,48,3.16
2021-05-25,137.85,164.53,150.86,118.96,105.48,53,2.19
2021-05-26,131.65,125.63,129.47,107.22,169.67,49,2.86
2021-05-27,114.73,126.26,140.9,93.02,106.58,40,2.55
2021-05-28,128.92,97.63,106.93,116.71,150.21,56,2.34
2021-05-29,162.36,174.43,179.69,155.54,147.03,50,4.39
2021-05-30,163.35,158.62,173.91,195.79,175.86,52,2.87
2021-05-31,151.43,159.3,132.83,116.89,123.45,34,2.86
2021-06-01,134.39,107.62,105.09,153.34,105.85,43,2.24
2021-06-02,112.66,128.67,122.91,114.78,142.27,55,2.25
2021-06-03,124.98,152.19,142.88,109.08,156.3,41,2.08
2021-06-04,140.57,116.68,125.02,139.96,173.24,42,3.06
2021-06-05,145.46,110.17,158.1,128.0,156.4,44,3.31
2021-06-06,174.44,124.58,163.47,184.5,206.71,45,2.96
2021-06-07,149.02,161.71,168.08,143.1,110.48,35,3.1
2021-06-08,114.32,121.67,93.69,91.3,102.99,35,2.43
2021-06-09,121.28,124.68,149.68,93.38,107.72,50,2.89
2021-06-10,108.13,90.74,94.34,111.16,116.93,51,2.46
2021-06-11,140.67,131.47,129.51,174.64,128.52,43,2.93
2021-06-12,159.31,168.34,117.07,144.4,125.71,52,3.32
2021-06-13,142.66,142.38,109.41,162.61,150.92,56,3.75
2021-06-14,148.96,192.55,150.38,163.14,177.06,41,2.86
2021-06-15,125.37,98.02,107.89,157.83,116.5,54,2.56
2021-06-16,117.91,131.71,141.64,140.61,91.89,54,2.36
2021-06-17,131.78,124.21,93.41,137.05,107.8,44,3.21
2021-06-18,125.25,119.86,116.17,137.05,105.53,43,3.13
2021-06-19,135.06,152.7,121.88,167.35,118.85,54,2.6
2021-06-20,136.82,152.62,97.36,128.57,148.54,62,3.11
2021-06-21,125.98,163.12,97.59,112.89,133.61,39,2.86
2021-06-22,115.26,89.56,109.29,81.43,128.82,45,2.68
2021-06-23,107.87,82.24,107.41,129.0,98.97,48,2.16
2021-06-24,110.33,125.18,103.99,130.25,131.77,50,2.63
2021-06-25,130.71,136.85,133.13,99.69,107.5,48,2.29
2021-06-26,137.44,118.81,145.28,143.78,134.88,56,2.86
2021-06-27,154.94,115.84,109.38,151.59,182.92,42,3.44
2021-06-28,126.17,94.8,123.45,97.31,101.96,47,2.47
2021-06-29,137.9,170.51,176.25,177.66,105.62,57,2.12
2021-06-30,105.36,85.88,106.57,87.33,129.62,43,1.88
2021-07-01,93.63,83.71,103.6,69.32,84.8,39,2.04
2021-07-02,106.36,88.91,94.35,112.41,118.09,56,2.09
2021-07-03,136.76,124.86,159.24,156.36,97.81,52,2.74
2021-07-04,132.79,98.49,154.54,95.54,147.93,51,3.49
2021-07-05,130.58,132.07,132.25,143.01,116.17,47,2.18
2021-07-06,110.05,81.5,141.48,112.18,80.71,53,2.68
2021-07-07,93.0,109.76,72.1,70.86,99.12,62,1.9
2021-07-08,88.35,74.24,62.75,70.99,74.61,51,2.15
2021-07-09,96.54,98.86,112.19,100.48,89.99,56,2.41
2021-07-10,122.1,149.95,144.6,107.18,91.37,42,2.18
2021-07-11,138.23,150.75,106.73,174.58,108.97,55,2.56
2021-07-12,120.23,122.61,103.32,143.22,105.66,49,2.5
2021-07-13,87.52,78.29,62.18,112.91,65.98,46,2.73
2021-07-14,90.13,81.1,78.95,77.14,112.35,48,2.1
2021-07-15,95.36,105.06,110.99,122.24,67.1,52,1.64
2021-07-16,97.56,126.49,98.61,93.54,96.62,58,1.84
2021-07-17,122.83,134.76,111.64,111.59,95.06,58,2.36
2021-07-18,125.0,129.33,115.38,91.27,110.57,46,2.4
2021-07-19,101.43,115.46,71.08,74.21,127.35,47,2.47
2021-07-20,98.35,96.29,86.53,109.68,78.38,36,1.64
2021-07-21,88.83,65.38,96.63,86.58,113.65,52,1.68
2021-07-22,97.19,100.82,124.84,81.24,80.03,45,2.02
2021-07-23,111.81,142.51,135.1,119.46,128.02,58,2.38
2021-07-24,102.42,82.47,73.14,87.23,105.29,58,1.86
2021-07-25,109.97,122.51,136.27,115.1,135.34,56,1.69
2021-07-26,112.98,92.71,132.18,103.43,116.64,43,2.26
2021-07-27,94.91,96.95,110.88,113.34,96.88,59,1.53
2021-07-28,83.41,63.23,81.31,99.47,68.17,41,1.64
2021-07-29,119.97,116.4,112.63,118.34,95.94,66,2.73
2021-07-30,102.11,117.8,90.03,92.97,127.63,47,1.62
2021-07-31,122.72,111.5,90.74,112.6,110.04,55,2.5
2021-08-01,124.1,136.38,103.87,146.87,114.58,56,2.0
2021-08-02,109.6,129.03,92.94,98.3,126.69,50,2.19
2021-08-03,81.93,102.93,81.15,67.63,74.0,47,1.91
2021-08-04,81.21,68.28,93.26,60.97,103.23,47,1.59
2021-08-05,69.12,64.94,68.03,67.74,78.98,50,1.38
2021-08-06,89.49,70.83,65.75,88.53,94.72,47,1.52
2021-08-07,102.02,132.17,130.04,122.89,125.34,54,2.13
2021-08-08,110.95,139.37,140.42,92.39,80.96,55,2.09
2021-08-09,121.85,124.77,142.7,113.15,104.09,53,1.97
2021-08-10,62.09,74.83,80.39,73.58,60.78,52,1.15
2021-08-11,76.22,77.18,78.25,91.02,63.73,51,1.21
2021-08-12,56.52,60.71,72.21,52.6,64.79,38,1.45
2021-08-13,83.0,62.54,61.86,80.96,103.87,66,1.77
2021-08-14,113.69,131.1,104.53,100.27,108.49,49,2.19
2021-08-15,106.76,82.91,89.17,134.47,96.65,51,1.87
2021-08-16,83.99,100.42,68.66,64.77,107.24,44,1.53
2021-08-17,69.73,81.53,54.7,87.88,67.42,42,1.52
2021-08-18,72.35,81.41,77.66,80.33,71.87,49,1.61
2021-08-19,61.61,44.46,72.0,62.77,56.12,44,1.34
2021-08-20,86.22,76.03,90.27,62.04,107.41,53,1.83
2021-08-21,99.67,85.5,78.55,98.21,103.79,48,1.78
2021-08-22,96.09,88.02,114.02,90.77,111.2,52,1.85
2021-08-23,112.76,84.86,121.96,89.84,133.86,51,2.13
2021-08-24,79.86,100.8,74.5,87.35,72.28,65,1.45
2021-08-25,50.0,51.61,55.22,64.13,48.01,36,0.85
2021-08-26,67.57,59.68,57.83,70.09,81.69,44,1.78
2021-08-27,74.31,69.72,67.41,83.89,68.21,49,1.49
2021-08-28,104.69,101.37,130.91,77.58,123.15,47,2.14
2021-08-29,91.71,97.25,80.19,87.18,115.98,50,1.83
2021-08-30,87.3,88.12,85.73,67.2,93.75,53,1.68
2021-08-31,75.78,94.84,93.51,80.91,86.76,43,1.8
2021-09-01,68.21,68.09,76.72,86.16,80.7,55,1.31
2021-09-02,51.08,66.16,37.66,56.04,61.65,52,1.06
2021-09-03,75.05,90.87,59.17,55.99,70.32,49,1.79
2021-09-04,88.97,73.41,62.7,81.21,65.02,51,1.71
2021-09-05,90.75,114.2,97.88,93.51,85.41,45,1.89
2021-09-06,103.83,79.93,100.57,97.8,114.66,38,2.12
2021-09-07,72.6,86.43,56.67,87.14,70.44,55,1.58
2021-09-08,50.0,46.42,63.74,59.44,57.47,50,1.14
2021-09-09,70.27,86.21,71.52,74.99,64.24,49,1.56
2021-09-10,97.72,119.3,82.59,90.3,105.62,54,2.08
2021-09-11,102.24,121.01,102.28,87.23,83.01,46,1.93
2021-09-12,80.38,94.37,89.05,61.38,92.41,50,1.55
2021-09-13,79.73,70.38,59.46,72.79,81.91,34,1.77
2021-09-14,79.71,59.67,68.93,75.56,65.55,59,1.63
2021-09-15,50.0,47.09,59.21,55.27,43.76,43,0.98
2021-09-16,64.21,51.63,62.66,70.3,73.79,48,1.23
2021-09-17,83.02,92.74,85.34,61.61,82.16,56,1.63
2021-09-18,81.53,74.0,78.24,76.4,67.64,35,2.04
2021-09-19,93.96,120.77,68.25,76.02,120.3,49,2.09
2021-09-20,51.23,55.57,40.96,40.68,57.85,65,1.07
2021-09-21,55.97,66.8,54.14,66.96,71.32,45,1.22
2021-09-22,52.81,41.17,43.6,38.3,50.5,60,1.0
2021-09-23,50.0,60.86,36.5,47.58,49.25,56,0.89
2021-09-24,91.08,114.19,109.86,72.95,112.83,51,1.72
2021-09-25,76.08,75.49,98.04,93.39,77.22,40,1.62
2021-09-26,89.84,95.57,105.64,92.91,101.01,45,1.58
2021-09-27,84.74,98.2,102.73,71.08,72.14,55,1.93
2021-09-28,80.52,64.81,68.05,80.64,77.95,52,1.71
2021-09-29,50.0,50.08,63.82,56.94,38.7,36,1.09
2021-09-30,70.88,66.57,57.99,90.36,58.38,48,1.77
2021-10-01,75.06,59.13,95.39,62.47,52.59,61,1.21
2021-10-02,80.87,74.44,104.88,99.61,58.51,52,1.47
2021-10-03,99.27,73.55,111.88,125.14,127.7,32,1.87
2021-10-04,85.93,61.48,110.74,107.41,72.65,45,1.87
2021-10-05,60.72,47.43,63.25,65.65,66.67,66,1.21
2021-10-06,56.74,72.51,48.56,61.16,68.29,57,1.26
2021-10-07,56.22,57.89,54.09,52.95,57.93,51,1.48
2021-10-08,77.02,98.54,81.34,88.68,60.99,63,1.75
2021-10-09,98.33,94.35,73.14,100.18,111.79,53,2.52
2021-10-10,111.64,99.03,119.83,123.52,118.35,50,2.48
2021-10-11,72.8,73.07,93.82,69.68,82.9,51,1.46
2021-10-12,89.39,86.14,72.77,101.8,103.86,52,1.79
2021-10-13,50.0,38.17,58.78,59.73,64.26,53,0.98
2021-10-14,60.1,65.17,74.8,47.35,62.75,43,1.28
2021-10-15,83.41,69.2,105.62,100.07,75.49,66,1.77
2021-10-16,96.27,103.18,122.85,98.6,104.84,48,1.96
2021-10-17,91.4,99.64,92.58,110.3,67.73,52,2.29
2021-10-18,85.05,67.29,109.4,81.54,105.33,48,1.55
2021-10-19,65.18,48.03,75.24,60.45,50.29,70,1.59
2021-10-20,53.75,62.8,42.84,67.13,48.19,47,1.1
2021-10-21,72.36,70.62,71.36,61.56,86.07,44,1.51
2021-10-22,83.45,61.33,94.38,100.69,88.32,43,1.26
2021-10-23,88.98,115.4,75.49,88.13,83.3,49,1.56
2021-10-24,109.17,80.21,118.39,110.1,107.43,38,3.41
2021-10-25,92.85,103.72,102.13,82.18,112.6,59,1.82
2021-10-26,80.98,104.49,64.59,84.53,73.21,58,1.37
2021-10-27,68.78,58.01,71.46,61.56,84.03,50,1.56
2021-10-28,58.51,45.95,68.05,42.34,44.05,58,0.94
2021-10-29,77.31,59.75,77.26,66.74,90.15,44,1.38
2021-10-30,106.51,93.94,75.33,74.97,128.72,57,2.13
2021-10-31,109.5,83.29,77.25,140.93,88.6,47,2.49
2021-11-01,92.88,103.59,84.92,118.84,89.0,51,3.2
2021-11-02,77.44,57.1,97.24,72.57,61.9,63,1.29
2021-11-03,78.76,79.2,65.94,89.55,88.52,37,1.64
2021-11-04,64.48,83.69,69.68,58.51,65.85,49,1.37
2021-11-05,92.07,109.41,76.71,101.52,99.54,43,1.64
2021-11-06,100.79,107.75,90.0,119.26,82.43,70,1.83
2021-11-07,105.08,92.87,127.02,133.25,86.91,50,2.28
2021-11-08,108.03,116.06,122.86,101.56,78.31,51,2.35
2021-11-09,88.55,89.99,67.05,103.6,79.1,41,1.92
2021-11-10,78.23,74.76,74.89,67.25,81.04,46,1.63
2021-11-11,87.65,68.23,62.89,113.44,106.47,52,1.99
2021-11-12,91.09,112.22,90.04,65.17,100.21,56,1.86
2021-11-13,113.99,110.56,125.1,121.07,109.57,47,2.28
2021-11-14,108.6,88.7,83.74,118.99,138.13,44,2.17
2021-11-15,104.8,96.49,91.53,116.63,118.59,43,2.33
2021-11-16,83.6,79.29,78.47,64.56,105.17,42,1.31
2021-11-17,75.75,90.64,94.82,95.68,77.0,54,1.46
2021-11-18,85.3,97.26,110.55,68.99,72.96,48,1.85
2021-11-19,87.53,101.67,63.63,93.98,64.04,51,2.13
2021-11-20,133.0,93.98,153.83,110.87,151.05,38,3.24
2021-11-21,106.62,101.26,98.42,94.29,82.4,38,2.42
2021-11-22,94.47,93.41,88.38,97.11,83.29,62,1.45
2021-11-23,101.6,72.29,117.1,96.55,103.58,47,1.99
2021-11-24,87.88,75.22,109.95,69.97,91.28,55,1.91
2021-11-25,90.85,105.04,115.43,72.91,96.33,54,1.51
2021-11-26,107.32,83.95,112.28,102.05,85.83,49,2.02
2021-11-27,117.34,119.83,107.28,135.46,108.88,43,2.44
2021-11-28,113.16,93.82,132.68,140.18,121.12,49,2.36
2021-11-29,112.88,79.84,96.02,84.72,144.7,48,2.57
2021-11-30,88.82,75.03,92.23,83.12,100.95,55,1.78
2021-12-01,95.35,122.57,87.26,72.48,119.53,40,1.7
2021-12-02,88.83,104.9,97.17,63.06,102.8,62,1.68
2021-12-03,98.52,125.69,83.18,108.08,103.94,51,1.97
2021-12-04,120.05,119.17,97.84,127.43,97.87,47,2.5
2021-12-05,132.11,101.18,165.26,105.4,145.32,50,1.94
2021-12-06,112.39,115.62,85.54,94.44,120.71,41,2.04
2021-12-07,93.32,90.76,93.65,66.65,99.06,64,1.99
2021-12-08,94.03,113.46,78.28,112.93,93.46,59,1.96
2021-12-09,98.79,74.97,71.46,126.93,100.49,44,1.94
2021-12-10,107.8,107.04,77.79,84.22,97.09,39,2.63
2021-12-11,124.69,98.51,100.39,104.6,126.13,43,2.97
2021-12-12,136.48,122.12,166.51,166.65,111.71,50,2.17
2021-12-13,109.76,125.39,95.44,137.85,129.86,40,2.07
2021-12-14,93.72,92.37,119.05,89.2,76.05,50,1.54
2021-12-15,90.7,83.95,95.14,66.25,68.12,57,1.62
2021-12-16,100.53,94.17,96.71,72.75,96.69,57,1.7
2021-12-17,122.33,119.36,128.21,127.76,133.95,51,2.72
2021-12-18,150.54,176.28,152.05,140.87,144.91,48,3.35
2021-12-19,149.15,184.24,172.31,106.97,129.18,53,5.14
2021-12-20,129.09,164.36,112.24,135.54,133.6,53,2.87
2021-12-21,114.08,133.72,104.02,80.63,103.61,61,2.59
2021-12-22,94.36,83.91,116.67,110.63,118.87,38,1.85
2021-12-23,109.0,121.31,138.2,96.34,136.65,56,2.27
2021-12-24,122.88,118.28,151.83,88.99,123.06,50,3.07
2021-12-25,145.58,124.15,138.54,153.29,130.54,45,2.7
2021-12-26,138.89,167.29,162.25,130.36,158.65,54,2.53
2021-12-27,142.48,103.02,140.46,182.98,102.87,46,2.34
2021-12-28,136.21,169.04,136.01,139.82,134.15,44,2.16
2021-12-29,109.92,107.38,90.45,95.1,99.13,44,1.9
2021-12-30,119.84,129.71,126.39,134.9,150.08,41,2.22
2021-12-31,139.31,152.63,113.08,120.21,98.52,51,2.14
2022-01-01,144.99,179.36,130.34,180.15,149.58,47,2.79
2022-01-02,156.06,168.85,189.3,144.33,178.59,60,2.48
2022-01-03,144.07,153.92,118.75,148.38,142.78,46,2.88
2022-01-04,128.52,95.1,95.45,93.86,96.55,42,2.25
2022-01-05,109.94,111.16,81.51,105.07,141.11,47,3.05
2022-01-06,122.73,96.97,155.19,147.2,124.05,44,2.41
2022-01-07,144.05,164.57,144.65,170.46,153.92,41,2.48
2022-01-08,170.16,171.41,160.91,142.02,143.27,53,4.36
2022-01-09,170.05,188.44,201.77,142.1,168.37,51,3.33
2022-01-10,172.11,124.78,206.79,204.88,164.79,53,3.59
2022-01-11,126.49,94.98,113.76,159.16,94.23,59,2.69
2022-01-12,133.01,150.27,148.46,100.71,101.58,54,2.71
2022-01-13,130.91,97.3,152.21,126.99,157.42,47,2.08
2022-01-14,167.55,124.45,183.09,151.21,141.39,51,3.05
2022-01-15,154.13,109.01,121.91,188.41,125.92,57,3.08
2022-01-16,158.6,202.05,194.37,118.97,159.07,54,3.45
2022-01-17,151.11,172.64,154.65,124.92,175.47,51,2.8
2022-01-18,119.43,108.91,103.84,137.52,88.04,53,2.39
2022-01-19,125.5,110.18,119.87,91.71,131.28,57,2.51
2022-01-20,127.94,116.4,92.44,127.36,98.71,51,2.98
2022-01-21,153.57,178.88,119.28,148.24,110.86,47,3.49
2022-01-22,172.02,188.68,199.43,154.93,125.86,49,3.07
2022-01-23,192.12,155.83,134.49,179.97,230.64,63,4.37
2022-01-24,172.93,139.12,164.27,176.04,133.29,53,3.09
2022-01-25,141.19,107.16,143.09,112.5,102.65,39,2.88
2022-01-26,128.03,140.34,93.81,133.56,123.26,54,2.37
2022-01-27,146.66,169.93,188.29,173.54,176.93,59,2.57
2022-01-28,145.04,124.59,121.21,167.68,124.36,38,3.15
2022-01-29,193.05,137.56,170.37,152.96,183.98,44,4.71
2022-01-30,191.24,143.3,168.75,151.0,138.45,56,4.16
2022-01-31,164.78,211.04,138.13,141.86,159.75,58,3.11
2022-02-01,135.82,119.15,95.2,124.5,142.15,52,2.47
2022-02-02,156.5,181.78,178.04,147.9,163.16,46,3.48
2022-02-03,146.5,157.46,187.53,162.29,131.77,49,3.05
2022-02-04,176.47,163.97,147.28,129.53,156.94,63,3.21
2022-02-05,164.59,135.53,180.69,118.64,125.74,42,2.84
2022-02-06,179.2,138.49,205.21,167.58,164.88,65,3.45
2022-02-07,175.21,187.3,211.84,195.94,133.11,42,3.65
2022-02-08,159.05,185.26,151.67,129.8,184.5,51,3.18
2022-02-09,144.03,156.47,127.0,156.26,184.33,54,2.82
2022-02-10,159.38,162.28,142.68,136.42,204.34,45,2.7
2022-02-11,158.87,115.21,179.13,195.67,193.67,46,2.44
2022-02-12,184.5,236.36,219.56,228.3,195.66,58,4.1
2022-02-13,191.72,226.08,155.09,168.4,214.82,45,3.31
2022-02-14,185.56,162.49,171.19,155.5,161.65,42,3.37
2022-02-15,170.89,220.1,212.1,161.79,184.3,60,3.88
2022-02-16,142.41,151.11,168.61,120.24,138.62,40,3.39
2022-02-17,142.86,149.93,184.43,157.64,141.32,53,3.17
2022-02-18,187.3,215.18,215.87,223.94,216.27,48,3.47
2022-02-19,194.15,230.47,181.71,214.31,168.75,55,3.81
2022-02-20,187.86,205.5,198.08,224.42,167.35,47,3.3
2022-02-21,200.69,155.9,220.07,188.28,251.82,50,3.79
2022-02-22,169.61,153.15,126.71,134.64,124.45,64,3.26
2022-02-23,170.05,213.73,174.59,194.33,168.58,58,3.95
2022-02-24,163.41,136.41,183.93,149.73,203.88,58,2.92
2022-02-25,199.58,184.27,159.74,220.08,212.79,48,4.34
